candidate_id,triggered_rules,technical_evidence_count,raw_score_before_exclusion,high_confidence,would_enter_top200
CAND_0001610,experience_sum_mismatch,14,1.01240100,yes,yes
CAND_0003430,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0003582,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0005191,company_before_founding_year,0,0.00000000,yes,no
CAND_0005269,company_before_founding_year,0,0.00000000,yes,no
CAND_0005291,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0005509,company_before_founding_year,4,0.48085503,yes,yes
CAND_0007353,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0007413,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0008049,company_before_founding_year,4,0.40530173,yes,no
CAND_0008960,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0010294,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0010770,experience_sum_mismatch,15,0.98381919,yes,yes
CAND_0011263,company_before_founding_year,2,0.00000000,yes,no
CAND_0013536,experience_sum_mismatch,6,0.49408463,yes,yes
CAND_0014063,company_before_founding_year,4,0.37502543,yes,no
CAND_0016000,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0016657,company_before_founding_year,2,0.05425563,yes,no
CAND_0017960,company_before_founding_year,7,0.62416307,yes,yes
CAND_0018013,company_before_founding_year,4,0.43849483,yes,no
CAND_0018293,company_before_founding_year,0,0.00000000,yes,no
CAND_0018515,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0019480,experience_sum_mismatch,7,0.58568063,yes,yes
CAND_0021410,company_before_founding_year,4,0.45293683,yes,no
CAND_0024752,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0025579,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0033131,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0033311,company_before_founding_year,0,0.00000000,yes,no
CAND_0033817,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0033861,company_before_founding_year,20,1.07579995,yes,yes
CAND_0033972,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0035104,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0036299,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0036839,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0037000,experience_sum_mismatch,12,0.73686447,yes,yes
CAND_0037539,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0038431,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0039754,experience_sum_mismatch,22,1.19367033,yes,yes
CAND_0040075,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0040099,company_before_founding_year,2,0.02846400,yes,no
CAND_0040853,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0042245,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0042453,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0043721,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0046649,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0046689,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0048166,company_before_founding_year,5,0.48480390,yes,yes
CAND_0048740,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0049978,company_before_founding_year,5,0.46731790,yes,yes
CAND_0050765,company_before_founding_year,0,0.00000000,yes,no
CAND_0052478,experience_sum_mismatch,0,0.00000000,yes,no
CAND_0053734,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0055685,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0055792,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0055905,company_before_founding_year,23,1.21272967,yes,yes
CAND_0055992,experience_sum_mismatch,14,0.96419880,yes,yes
CAND_0056983,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0057711,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0059520,company_before_founding_year,2,0.05211480,yes,no
CAND_0060642,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0060835,company_before_founding_year,4,0.38226230,yes,no
CAND_0061156,company_before_founding_year,4,0.42158767,yes,no
CAND_0061722,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0063888,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0064077,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0065052,company_before_founding_year,0,0.00000000,yes,no
CAND_0065096,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0065450,company_before_founding_year,2,0.00000000,yes,no
CAND_0065710,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0065787,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0065878,company_before_founding_year,9,0.71781283,yes,yes
CAND_0066405,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0067183,company_before_founding_year,2,0.06012545,yes,no
CAND_0068513,company_before_founding_year,0,0.00000000,yes,no
CAND_0069248,company_before_founding_year,4,0.47579147,yes,yes
CAND_0070189,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0070429,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0071115,experience_sum_mismatch,2,0.00000000,yes,no
CAND_0072232,company_before_founding_year,4,0.44138960,yes,no
CAND_0072379,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0073853,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0074119,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0077239,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0077250,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0077296,company_before_founding_year,5,0.41734807,yes,no
CAND_0077343,company_before_founding_year,0,0.00000000,yes,no
CAND_0081480,company_before_founding_year,0,0.00000000,yes,no
CAND_0081778,company_before_founding_year,4,0.39332783,yes,no
CAND_0083307,company_before_founding_year,11,0.90586687,yes,yes
CAND_0084182,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0084283,company_before_founding_year,4,0.43819067,yes,no
CAND_0085851,company_before_founding_year,4,0.48303900,yes,yes
CAND_0086808,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0088441,company_before_founding_year,0,0.00000000,yes,no
CAND_0090900,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0091068,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0091534,experience_sum_mismatch,11,0.94481417,yes,yes
CAND_0093331,experience_sum_mismatch,7,0.65047850,yes,yes
CAND_0093364,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0093547,company_before_founding_year;experience_sum_mismatch,8,0.67541550,yes,yes
CAND_0095140,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0095317,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0095480,multiple_expert_skills_with_zero_duration,0,0.00000000,yes,no
CAND_0095619,experience_sum_mismatch,6,0.58534353,yes,yes
CAND_0096150,experience_sum_mismatch;job_duration_mismatch,0,0.00000000,yes,no
CAND_0096589,company_before_founding_year,0,0.00000000,yes,no
CAND_0099581,company_before_founding_year,0,0.00000000,yes,no
